project_id,response_id,question,text,sentence,sentiment,sentiment_score,is_learning,embedding,cluster
Nature_Training_Course,13,What were the negative aspects? Please explain.,Only negative aspect was it was very few days.,Only negative aspect was it was very few days.,negative,-0.5719,False,"[ 4.90279496e-02  1.22111954e-01  9.33857933e-02  3.65833454e-02
  7.18593895e-02 -4.53729071e-02 -2.27824394e-02  5.22790216e-02
 -8.82343110e-03 -1.61313470e-02  7.02514052e-02  2.12607402e-02
  5.59400506e-02  5.88128231e-02  3.36523391e-02 -9.44298953e-02
  5.06745130e-02 -7.93490186e-02 -7.26652071e-02  4.12361734e-02
 -6.16079234e-02 -6.32610843e-02 -7.98179433e-02 -2.83267833e-02
  2.61858874e-03 -4.22179839e-03 -1.19321409e-03 -2.31918618e-02
  5.32956533e-02 -5.36928959e-02 -4.84778322e-02  1.49581924e-01
  3.07994569e-03  2.06504595e-02  1.07426755e-02  9.47864447e-03
 -2.70999339e-03  4.82155159e-02 -2.60745995e-02 -1.61100216e-02
  5.77844074e-03  3.01496070e-02  1.03691211e-02  3.51190642e-02
 -1.19368043e-02 -7.83482641e-02  2.66402215e-03 -4.11694124e-02
  2.24248581e-02 -1.15901334e-02  2.05488671e-02  4.92762029e-02
 -3.84750292e-02 -3.29595730e-02 -2.38239411e-02  7.12076807e-03
  1.67780872e-02 -4.46726847e-03 -1.29856216e-02 -9.52324923e-03
  4.57409956e-02 -4.95330691e-02 -6.21488132e-02 -1.04431562e-01
  6.80113137e-02  1.81234833e-02 -7.05205128e-02 -8.31256509e-02
 -6.22996711e-04  1.22132890e-01  8.81715585e-03 -3.15209776e-02
  3.66774350e-02 -5.75934686e-02 -4.72515039e-02  3.06992847e-02
  1.59618985e-02  3.26146930e-02  2.59854458e-02 -2.17954684e-02
  4.63756323e-02  3.25015634e-02 -5.07782251e-02  6.72268346e-02
  2.12333146e-02 -5.29220924e-02 -4.13396209e-03 -4.25410904e-02
 -4.00136188e-02  3.79766747e-02  4.88297865e-02  1.81131884e-02
  7.44359717e-02 -1.03683285e-02  5.64284474e-02 -7.06674978e-02
 -7.11293370e-02  7.31992349e-02 -3.94730680e-02  1.05519213e-01
 -2.36337762e-02  1.25295058e-01 -5.65864556e-02 -1.93664338e-02
  3.80509757e-02 -1.92136746e-02 -7.50608891e-02 -1.62022039e-02
 -6.96989521e-02  4.54525510e-03 -8.80508050e-02  2.71070898e-02
  1.21787749e-01 -4.26930711e-02  1.59914140e-02  4.16143872e-02
  3.73029634e-02  1.11203313e-01 -4.31073084e-02  1.36763109e-02
  2.71407608e-02  6.69898046e-03 -1.20971035e-02  3.02052721e-02
 -4.07823548e-02  3.24989930e-02  8.43252689e-02 -2.00509839e-33
  5.23216929e-03 -5.49467579e-02 -5.52824093e-03 -1.80333275e-02
  4.98111881e-02 -2.64705922e-02 -7.51466528e-02 -3.33314016e-02
 -1.00257725e-03 -4.74245613e-03  4.67111990e-02 -5.02106408e-03
 -7.09707988e-03 -8.25896487e-02  4.79295813e-02  1.17261754e-02
 -4.90242802e-02  8.20602775e-02  3.55425999e-02  5.65056540e-02
  2.43453705e-03 -4.33085263e-02 -4.83412556e-02 -9.30753723e-02
  1.68749189e-03 -3.75597142e-02  2.13513710e-02  1.11278445e-02
 -7.24160373e-02 -2.68185474e-02 -6.75892234e-02  3.05684768e-02
  7.30962530e-02  4.13191132e-02  7.02127516e-02  3.22813541e-02
  1.56730674e-02 -5.27182184e-02 -3.24971937e-02 -2.65999939e-02
 -7.31214359e-02  4.81408052e-02 -2.45977696e-02 -1.05997212e-01
  1.39149753e-02  3.00855935e-02  5.70947751e-02 -5.05076759e-02
 -9.09838155e-02  5.32217249e-02  3.94419655e-02  1.38007579e-02
  4.25916463e-02 -2.67639980e-02 -2.52676737e-02  4.98417020e-02
 -2.16870047e-02  4.16255258e-02  2.78250482e-02  4.43878993e-02
  2.84877419e-02 -3.08251660e-02 -2.65310593e-02 -1.14033997e-01
 -7.62747973e-02 -3.75540508e-03 -2.68077012e-02  3.56783532e-03
 -5.04829772e-02 -1.34275397e-02 -1.51613206e-02  2.38681491e-02
  5.24387136e-02 -5.76537587e-02  7.88705517e-03  4.66688117e-03
  2.16778573e-02 -1.92094315e-02  4.02892865e-02 -1.59119256e-02
  4.54340652e-02 -3.98365557e-02  3.31361257e-02 -9.10708755e-02
 -4.10747901e-03 -4.22171466e-02  1.16012216e-01  2.12631654e-02
 -1.09025007e-02 -5.42726740e-02 -1.03065357e-01  1.87431388e-02
 -5.61572202e-02 -2.18220893e-02  7.38373101e-02  1.00710607e-33
 -7.90139511e-02 -7.09221289e-02 -1.20723441e-01  2.52353470e-03
  1.15528824e-02  7.99770094e-03  4.64987755e-02  1.06055029e-01
 -7.05317548e-03  3.88611481e-02  4.95549142e-02  2.64353193e-02
 -2.90599875e-02  6.47964980e-03 -1.83756445e-02  2.18661949e-02
  2.61950362e-02 -4.27643098e-02  6.37541190e-02  7.13364854e-02
  3.81881073e-02  5.77872172e-02 -4.94767763e-02  8.49915203e-03
  5.36778420e-02  7.35842437e-02  1.61287875e-03  1.65265333e-02
 -7.65153840e-02 -5.09622842e-02  2.99673434e-02  8.54195133e-02
 -8.26907009e-02  9.54272877e-03 -1.13546764e-02  2.06995173e-03
 -5.33115901e-02  1.44329229e-02  4.42190357e-02 -4.73974012e-02
 -1.96125899e-02  1.81822362e-03  7.11128637e-02  1.58685353e-02
 -4.78088371e-02  2.29714462e-03  2.22335830e-02  2.60124002e-02
  8.30882415e-02  3.95469517e-02 -1.12391196e-01  1.02063389e-02
  1.12911407e-02  4.93597873e-02  3.92614631e-03 -1.41750127e-02
  3.08488198e-02 -1.09164022e-01  5.03739007e-02  7.18044043e-02
 -8.77515227e-02 -5.76339774e-02  5.94966812e-03 -1.41968980e-01
 -1.59713323e-03  4.81182337e-02  1.85872503e-02  1.46962497e-02
  6.05284758e-02 -5.72839677e-02  1.47480024e-02  8.24218616e-02
 -9.97608304e-02  2.43631955e-02 -2.58713663e-02 -2.78941095e-02
 -6.42801896e-02  5.50021492e-02 -3.19149010e-02 -4.62210849e-02
 -8.58926773e-02 -1.28233405e-02 -5.42129837e-02 -3.78646627e-02
  1.23779858e-02  4.69963551e-02 -5.48749380e-02 -4.92577702e-02
  6.40923530e-02  8.40761811e-02 -1.29548237e-02 -2.43557841e-02
  2.35063303e-02  8.67725462e-02  5.47714531e-02 -1.90063378e-08
 -1.45968674e-02  2.70012245e-02  4.56788652e-02  2.46558450e-02
  9.93616227e-03 -4.07143086e-02  8.15638602e-02  3.14347371e-02
  1.96902808e-02  1.67510465e-01  3.71576808e-02  2.20693033e-02
 -9.88785848e-02 -4.82575549e-03 -2.33094636e-02  7.91824609e-02
  3.58488150e-02 -5.65047413e-02 -9.26774181e-03 -2.28697667e-03
  7.33604506e-02  1.72276683e-02 -8.81474912e-02 -4.13934663e-02
  1.46169476e-02 -1.45485308e-02  6.39747009e-02  5.31946532e-02
  1.70455240e-02 -5.24465293e-02  7.49936886e-03  2.13301275e-02
 -5.83531111e-02 -3.57727036e-02 -4.43996303e-02  8.55854654e-04
  2.82525513e-02  7.91688636e-03 -1.11934380e-03 -1.03106476e-01
 -3.55911218e-02  6.54442683e-02  2.39287373e-02  3.02465484e-02
  3.90796959e-02  2.27406323e-02 -3.45789529e-02 -5.06290495e-02
 -1.97986122e-02  1.03190513e-02  7.57173896e-02  5.86783700e-02
  2.16350146e-02  9.77434516e-02  3.57595682e-02  8.14813897e-02
 -2.69665420e-02 -5.01106381e-02 -3.18684615e-03 -3.46998614e-03
 -1.36150303e-03 -2.28230990e-02 -7.05375075e-02  3.23860943e-02]",0
Nature_Training_Course,22,What were the negative aspects? Please explain.,"not enough time , one or two days more would be much better","not enough time , one or two days more would be much better",negative,-0.6,False,"[-4.54898272e-03  2.23079938e-02  4.83158715e-02  1.70751959e-02
  3.07562761e-03 -7.36591518e-02 -9.52823237e-02 -1.03083048e-02
  1.94211602e-02 -4.52655107e-02 -1.81399360e-02  1.09685343e-02
 -2.89588254e-02  6.19814023e-02  1.04735270e-01  1.00184977e-02
  3.66747603e-02 -4.03957292e-02 -5.85399605e-02 -6.05503039e-04
 -7.44144490e-04 -7.56558552e-02 -3.61753255e-03  2.42069084e-02
 -8.45201388e-02  1.22021530e-02 -4.42705676e-02  9.22585465e-03
 -3.60036711e-03 -3.69036943e-02  1.69252530e-02  1.89823024e-02
 -3.51961777e-02  7.94525258e-03  2.92641278e-02 -9.58584342e-03
  3.35676335e-02  4.04580943e-02  7.34090712e-03 -6.36120141e-02
  4.35442775e-02 -1.80635359e-02  3.89469229e-02  6.68298751e-02
 -2.12468058e-02 -1.07532367e-02  5.62593862e-02 -3.35396677e-02
  7.13392794e-02  9.27424338e-03 -1.53764132e-02 -1.39716100e-02
  1.04422751e-03 -7.93326199e-02  9.28882882e-03  8.33795816e-02
 -8.10197219e-02  3.83370221e-02 -4.53475863e-03  1.38899246e-02
 -6.59778528e-03  4.74047773e-02 -2.84336116e-02  7.57804490e-04
  5.23754321e-02 -3.73928584e-02 -1.06014200e-02 -5.26494086e-02
  5.09527475e-02  9.15549025e-02 -7.16578737e-02  4.51924875e-02
 -8.85863602e-02 -5.78882825e-03 -4.21979092e-02 -3.75778899e-02
 -1.46027459e-02 -2.04943754e-02  4.92689200e-02 -2.56207399e-02
 -3.90025117e-02  6.89313784e-02  5.47045767e-02  1.56198563e-02
  7.23246438e-03 -2.88610533e-02  4.55454625e-02  1.96734518e-02
 -4.00387645e-02 -3.12758423e-02  8.21255222e-02  5.31757921e-02
  9.15811807e-02  1.49418879e-02 -3.97604220e-02  5.78239672e-02
 -5.85028827e-02  9.56476554e-02 -5.26534803e-02  1.00106120e-01
 -3.76852639e-02  2.49951705e-02 -4.97720502e-02 -7.87800178e-02
 -2.04137899e-02 -2.80267969e-02 -5.68908406e-03  4.75160107e-02
 -9.31227505e-02  8.35861266e-03  2.96167731e-02  6.92304596e-02
  6.92125782e-02  1.79542005e-02 -2.19742116e-02  9.61170495e-02
 -7.36281835e-03  6.34457842e-02  1.51328435e-02  4.26558740e-02
  3.49056683e-02 -1.36668468e-02  3.25569473e-02 -7.27034435e-02
 -3.43443379e-02  1.29990261e-02  4.09221016e-02  3.92792613e-33
 -8.37198123e-02  3.64895165e-02 -1.15712807e-02 -1.11811562e-02
  8.63217860e-02  3.06120850e-02 -9.12679732e-03 -2.13689897e-02
  6.69997260e-02 -9.42951515e-02 -8.33503529e-03 -1.06117055e-01
 -3.83423604e-02 -3.11525613e-02 -2.65025757e-02  9.38074011e-03
  8.36579278e-02  8.05444568e-02  2.32736673e-02 -3.19190584e-02
  3.38677540e-02 -2.36898825e-01 -2.96429321e-02 -7.47979619e-03
  1.82442609e-02  6.60375971e-03  6.03378154e-02 -4.71083410e-02
  4.85107154e-02 -1.68022979e-02  3.73284779e-02  3.66372913e-02
 -4.28294465e-02  7.25277960e-02  2.92683486e-02  6.98261010e-03
  1.04559332e-01  4.93219569e-02  2.74891760e-02 -5.15126735e-02
 -3.17130536e-02  3.94734628e-02  2.19724188e-03 -2.68562278e-03
  3.68767008e-02 -1.74799114e-02  4.67440020e-03 -1.13516068e-02
 -7.32988417e-02  2.82366723e-02  1.51995402e-02  4.48615067e-02
  2.81053185e-02 -5.58657423e-02 -4.86061582e-03  5.42626269e-02
  1.33967521e-02 -4.05772775e-02  7.55246729e-03  4.27174009e-02
  4.49064448e-02 -2.29491573e-02  3.71127613e-02 -2.94919610e-02
 -5.29494919e-02  1.40301380e-02  4.87712435e-02  4.88888519e-03
 -3.81662920e-02 -1.18667977e-02  3.53302574e-04 -4.09079641e-02
  2.21634749e-02 -7.06796721e-02 -3.81286517e-02 -8.25412720e-02
  5.42531535e-02  4.19302844e-02 -6.53982162e-02 -2.73109786e-02
  8.84903967e-02 -4.84998226e-02 -4.63769957e-02  2.55933846e-03
  7.11183846e-02 -5.70643647e-03  3.59834917e-02  5.56336939e-02
 -4.73002344e-02 -1.38418991e-02 -1.12605840e-01 -1.53925158e-02
  2.54275575e-02 -5.57907484e-02  5.52191921e-02 -3.22260270e-33
  1.38092088e-02 -1.19424619e-01 -3.02917417e-02  7.01935962e-02
  9.44657624e-02 -1.75937936e-02  1.81109272e-02  1.36032432e-01
  4.79953848e-02  4.33397330e-02  1.77790446e-03 -3.08893831e-03
 -5.01915626e-03 -5.58068231e-02 -3.10215466e-02  3.29957269e-02
  1.57583266e-01 -4.99315597e-02 -1.72965154e-02  1.18052647e-01
  3.09879687e-02  6.10949583e-02 -2.19873637e-02  5.63410707e-02
 -3.40933986e-02  5.42304032e-02 -3.33782807e-02  1.40647171e-02
 -5.50911725e-02  5.40623851e-02  3.38940658e-02 -8.00214186e-02
 -6.92178011e-02  2.96139847e-02  2.49090269e-02  7.28277490e-02
  2.83527318e-02 -6.80345716e-03  5.21624787e-03  1.21690273e-01
  3.96787710e-02 -2.73828618e-02 -5.93664795e-02 -3.23684625e-02
  5.25230393e-02  3.77310552e-02  1.28254667e-02 -2.73775756e-02
 -9.09302291e-03  1.43834114e-01  3.15221362e-02 -2.34315339e-02
 -4.94314730e-02 -3.48728965e-03  3.13108265e-02 -9.16188434e-02
  1.60700195e-02 -1.63440272e-01 -1.04254810e-03  2.35761353e-03
 -1.07304037e-01 -2.88611893e-02 -4.30650152e-02 -1.01311440e-02
  1.68612786e-02 -4.18543518e-02 -8.27912893e-03  3.16208005e-02
  3.80899198e-02  4.86442409e-02 -8.48264620e-03  2.48038657e-02
 -6.48692325e-02  5.68670174e-03 -6.56188801e-02  4.30943891e-02
 -1.96700431e-02  8.84303916e-03 -5.26412129e-02  4.18601511e-03
 -1.32225007e-01 -4.80395034e-02 -1.38670588e-02 -4.59880829e-02
 -3.33528332e-02  3.88187706e-03  2.79671624e-02  2.27264035e-02
  7.27453455e-02 -9.96651361e-04  5.63044474e-02  1.90747750e-03
  1.04556330e-01  9.15276557e-02  1.73427239e-02 -2.73177214e-08
  4.46262322e-02 -2.78332029e-02  3.01644597e-02 -5.15118300e-04
  1.27974423e-02 -4.51239161e-02 -7.76089169e-03 -4.73533981e-02
  1.04153035e-02 -2.48041470e-02  1.08788714e-01  4.99114627e-03
  3.39890346e-02  3.82231101e-02 -4.60225716e-02 -2.23045740e-02
 -4.03953493e-02 -6.11456670e-02 -3.65511961e-02 -8.14663433e-03
 -7.68409017e-03 -1.53838266e-02 -4.34548520e-02 -8.01841244e-02
 -1.88235641e-02  3.91125269e-02  9.18364078e-02  4.81081232e-02
 -1.48101300e-02 -7.26520792e-02 -1.15107028e-02 -9.10078408e-04
 -7.71028847e-02  3.45207267e-02 -8.87246057e-03 -1.34157389e-01
 -1.24258269e-02 -4.82563535e-03 -5.92940375e-02  1.06904879e-02
 -7.63545632e-02  1.65220816e-03  4.52954546e-02  4.95996438e-02
  3.59788015e-02 -8.19990411e-02 -2.67070867e-02 -1.25457430e-02
 -1.32824862e-02 -5.54373004e-02 -2.00122092e-02 -1.82323605e-02
  1.33870505e-02  4.37756851e-02  9.01987553e-02  5.56940585e-02
  3.21175866e-02 -1.97624546e-02 -1.86999459e-02  3.40959756e-03
 -7.90217668e-02 -6.85328245e-02 -9.91064385e-02 -2.20560692e-02]",0
Nature_Training_Course,34,What did you learn at this training course? ,more knowledge about critical thinking and critical design,more knowledge about critical thinking and critical design,negative,-0.6282,True,"[ 2.85771750e-02  2.99792960e-02 -6.64214939e-02 -3.12175415e-02
  3.59304482e-03 -1.68329775e-02  3.58023345e-02  1.26873165e-01
  3.98768345e-04  1.25531390e-01 -7.14487880e-02  4.51015197e-02
  2.46838480e-02  1.78264063e-02  6.08578604e-03 -2.94135679e-02
  1.32154515e-02 -7.73126706e-02  3.20553742e-02 -3.27130407e-02
  2.09031850e-02  1.71767082e-02 -2.54775491e-02 -9.91948601e-03
 -1.18354999e-01  6.95926845e-02  5.74142067e-03  3.36579494e-02
  1.97695363e-02  9.28517524e-03  2.70846728e-02  8.44418705e-02
  2.45384115e-04 -2.98455432e-02  2.40527112e-02  3.33743766e-02
  7.77008012e-02  5.10343872e-02  3.64003927e-02 -5.71707748e-02
 -1.01490043e-01 -7.62192858e-03 -2.54366286e-02  1.43892691e-02
 -2.41029169e-03  3.48661244e-02 -1.57163553e-02 -5.60311321e-03
 -1.73033196e-02 -5.51659800e-02 -1.21982887e-01 -1.06566094e-01
 -3.67145650e-02 -4.76331525e-02  2.80643087e-02  6.77238554e-02
  1.97196100e-02  2.73566190e-02 -3.84712517e-02  4.73404191e-02
 -2.28236802e-02 -1.41720008e-02 -2.84748953e-02  3.06316689e-02
  4.82861735e-02 -7.82912934e-07 -4.37998064e-02  5.94747849e-02
 -2.97540892e-02  4.86382581e-02  5.46507798e-02  1.08698371e-03
  7.22222999e-02 -9.82828140e-02  9.03594121e-02  1.16065666e-02
 -2.53963694e-02 -4.98169512e-02 -4.36929353e-02 -2.12774724e-02
  2.03714613e-02  4.29909378e-02 -1.19558424e-02  8.56189877e-02
 -1.56898107e-02 -4.78647836e-02  1.23315547e-02  3.58918944e-04
  3.14118434e-03 -4.99903597e-02  6.90528229e-02 -1.91685557e-02
  1.96547876e-03 -1.32122291e-02  7.71266669e-02  8.70868638e-02
 -9.52566788e-03 -4.05715518e-02 -2.58860495e-02  3.70615833e-02
 -4.04732600e-02  2.11214721e-02  5.98875470e-02 -8.39852020e-02
 -2.98048407e-02 -1.26170535e-02  1.02785192e-02  6.91928342e-02
  7.36887157e-02  9.20459628e-03 -5.36331534e-02  2.56486963e-02
  1.93344839e-02  2.66220104e-02  7.74798393e-02  3.13651375e-02
  1.85391810e-02  7.62260752e-03  6.98987916e-02  7.15298532e-03
  1.19960429e-02 -1.90548394e-02 -4.83120121e-02 -2.07083318e-02
 -2.28813644e-02 -1.47578893e-02 -3.78812216e-02 -1.88086627e-33
 -3.06656342e-02  6.58342615e-02  6.63914010e-02  6.95608556e-02
 -1.81984752e-02 -4.43636104e-02  6.12579025e-02  1.47590218e-02
 -4.48505953e-02 -2.00805254e-02 -2.21970119e-02 -7.29905814e-02
 -2.21363138e-02  4.30804528e-02 -5.04884450e-03 -5.70337847e-02
 -1.10485420e-01 -3.97578515e-02 -1.23602487e-01 -1.90322306e-02
  5.86740382e-04 -7.97745585e-02  5.94956204e-02 -6.56910762e-02
  2.93718576e-02 -3.34714260e-03  5.76164834e-02  4.11404185e-02
 -5.83028272e-02 -2.81053991e-03 -6.59547746e-02  3.51205692e-02
 -3.07686664e-02  1.14043042e-01 -3.43932435e-02  4.38655987e-02
  2.31298618e-02 -6.73944652e-02 -3.26643023e-03 -7.98200294e-02
  5.50291166e-02  2.53753997e-02  2.02937727e-03  5.15541397e-02
  7.60401413e-02  1.06858581e-01  1.45704508e-01 -1.71845052e-02
 -4.39954400e-02 -4.53535933e-03 -6.87595755e-02  2.35145967e-02
  3.95954475e-02 -2.62571592e-03 -2.77925748e-02 -3.70738395e-02
  2.91712757e-04 -6.54379558e-03  1.09764919e-01 -1.82888694e-02
 -9.21415612e-02  3.69385667e-02 -4.80880775e-02  2.90068109e-02
  7.49647766e-02  1.29604876e-01 -7.23947734e-02 -3.57764699e-02
  6.09359406e-02 -4.73840870e-02 -4.79681864e-02  9.49804299e-03
  3.58048081e-02 -5.35558462e-02 -7.34522492e-02  1.41330604e-02
 -6.53493181e-02 -1.48237944e-02  1.24160256e-02  1.48378443e-02
  3.54328267e-02 -2.14231815e-02  3.93825099e-02 -4.06222381e-02
  1.28517700e-02 -6.79094624e-03  8.92131329e-02  2.13581920e-02
  1.30932201e-02 -3.08005325e-02 -3.75812910e-02 -9.36727151e-02
  2.90041640e-02  1.90757159e-02 -2.37196349e-02  1.38644085e-33
 -8.08110535e-02 -1.23277150e-01 -3.32381725e-02  1.15686826e-01
  7.32493624e-02 -5.16975373e-02 -5.09623699e-02 -1.06681533e-01
 -5.66872722e-03  5.56916837e-03  7.78675154e-02 -1.06292121e-01
  1.38454803e-03  9.06061679e-02  1.67388823e-02 -2.52269097e-02
  1.61917787e-02 -7.42216185e-02  1.67121701e-02  4.89156833e-03
  4.89130318e-02  5.84710278e-02 -1.08969375e-01  3.06644570e-02
 -2.87588872e-02  5.29659465e-02  9.94933583e-03 -2.75497115e-03
 -7.09171593e-03  3.92595232e-02  6.40389249e-02 -1.01988889e-01
  1.34775033e-02  1.39509186e-01 -5.49435429e-02  2.91983820e-02
  2.70389058e-02  1.47670545e-02 -2.29971595e-02  2.46134493e-02
  1.28645077e-02  1.49626331e-03  4.88077253e-02 -3.96856926e-02
 -4.87244353e-02 -2.61112433e-02  1.37144728e-02 -1.38681894e-02
 -1.40658747e-02 -1.44054620e-02  2.74393484e-02 -2.36888248e-02
  2.57649533e-02 -9.98188853e-02  1.87166780e-02 -5.89099489e-02
  2.62203086e-02 -4.83256243e-02  7.54078776e-02  4.79613692e-02
  1.13963872e-01  7.22834980e-03 -4.63359319e-02 -4.26780283e-02
  3.45403608e-03 -6.03707507e-02 -4.85411063e-02  1.81755088e-02
 -1.04213124e-02  5.90464473e-03 -7.59819672e-02  1.93578508e-02
 -5.77428341e-02 -8.25944841e-02  7.83983804e-03  8.10764544e-03
 -7.79677648e-03  3.22931372e-02 -9.40039232e-02  9.42076184e-03
  1.27404481e-02 -5.37374988e-02 -6.81110518e-03  5.38158454e-02
  1.74179897e-02  6.02260306e-02 -6.51847422e-02  3.90454233e-02
  2.18948964e-02 -7.78084472e-02 -1.24027438e-01 -5.28968386e-02
  5.25490791e-02 -2.43667029e-02 -1.44965155e-02 -1.59728408e-08
 -5.76678663e-02 -3.38300429e-02  8.93219262e-02 -3.31438333e-02
  6.75825775e-02  1.68110728e-02 -4.02164124e-02  1.83804892e-02
  1.44574083e-02  7.14855492e-02 -3.33884694e-02 -5.74859194e-02
  5.19419163e-02  2.86000371e-02 -2.08821613e-02 -1.47417635e-02
  4.68624122e-02  4.90971021e-02 -1.34679694e-02 -3.40248831e-03
  9.87980887e-02 -7.74601772e-02 -1.40228905e-02 -1.09248133e-04
 -1.50992972e-04  2.19906736e-02  4.01182771e-02 -1.72021016e-02
 -1.50237009e-02  4.19018380e-02 -1.17684722e-01 -1.18559301e-02
  4.08990644e-02 -3.90156172e-02  4.19930853e-02  1.15598077e-02
  4.79273461e-02  6.31431416e-02 -1.69508625e-02 -4.89216819e-02
 -2.81504579e-02 -4.56243120e-02  1.27673354e-02  3.38838585e-02
  1.95387239e-03 -3.79868709e-02 -8.67459625e-02  1.06707001e-02
 -2.28953287e-02  3.95932756e-02  6.96934164e-02  7.03004841e-03
 -1.97536708e-03  2.53238324e-02  6.96140453e-02  5.56927957e-02
  1.52344443e-02  3.05636954e-02 -8.16329122e-02  6.63908273e-02
  8.91517848e-02  3.74030732e-02  2.31014844e-02  8.65786150e-02]",0
